qt5-webchannel 5.15.6+kde+r3-1
qt5-webengine 5.15.10-3
qt5-x11extras 5.15.6+kde+r0-1
qt5-xmlpatterns 5.15.6+kde+r0-1
ragel 6.10-3
rav1e 0.5.1-2
re2 1:20220601-1
readline 8.1.002-1
reflector 2021.11-5
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
ripgrep 13.0.0-2
rofi 1.7.5-1
rsync 3.2.6-1
rtkit 0.13-2
rubberband 3.0.0-2
run-parts 5.5-1
sbc 2.0-1
scrot 1.7-1
sdl2 2.24.0-2
seabios 1.16.0-3
sed 4.8-1
semver 7.3.7-1
serd 0.30.16-1
shaderc 2022.1-4
shadow 4.11.1-1
shared-mime-info 2.0+155+gf4e7cbc-1
signon-kwallet-extension 22.08.1-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
slang 2.3.3-1
smbclient 4.17.0-1
snap-pac 3.0.1-1
snapper 0.10.3-1
snapper-gui-git 0.1.r8.g1915750-1
snappy 1.1.9-2
solid 5.98.0-1
sonnet 5.98.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
spdlog 1.10.0-3
spectacle 22.08.1-1
speex 1.2.1-1
speexdsp 1.2.1-1
spice 0.15.0-1
spice-gtk 0.41-2
spicetify-cli 2.13.1-1
spirv-tools 2022.1-1
spotify 1:1.1.84.716-2
sqlite 3.39.3-1
squashfuse 0.1.105-1
sratom 0.6.14-1
srt 1.5.0-1
startup-notification 0.12-7
steam 1.0.0.75-1
sudo 1.9.11.p3-1
suitesparse 5.13.0-1
svt-av1 1.2.1-1
swtpm 0.7.3-1
syndication 5.98.0-1
synergy 1.10.3-3
